Part Name,Distrubutor,Quantity,LCSC Part ,Link,Price
1k,LCSC ,1,C713997,https://www.lcsc.com/product-detail/C713997.html?spm=wm.gwc.xh.7.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.77 $ 
10K,LCSC ,2,C119347,https://www.lcsc.com/product-detail/C119347.html?spm=wm.gwc.xh.6.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.56 $ 
RESET,LCSC ,1,C42416254,https://www.lcsc.com/product-detail/C42416254.html?spm=wm.gwc.xh.5.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.00 $ 
KEY IP5306,LCSC ,1,C42416254,https://www.lcsc.com/product-detail/C42416254.html?spm=wm.gwc.xh.5.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.00 $ 
BOOT,LCSC ,1,C42416254,https://www.lcsc.com/product-detail/C42416254.html?spm=wm.gwc.xh.5.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,1.46 $ 
USBLC6-2SC6,LCSC ,1,C7519,https://www.lcsc.com/product-detail/C7519.html?spm=wm.gwc.xh.4.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.76 $ 
IP5306,LCSC ,1,C181552,https://www.lcsc.com/product-detail/C181552.html?spm=wm.gwc.xh.3.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,3.95 $ 
TLV75533PDBV,LCSC ,1,C404027 ,https://www.lcsc.com/product-detail/C404027.html?spm=wm.gwc.xh.2.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.62 $ 
ESP32-S3-WROOM-1,LCSC ,1,C2913202,https://www.lcsc.com/product-detail/C2913202.html?spm=wm.gwc.xh.1.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,4.95 $ 
 3000 mAh Lipo-Batterie  ,Aliexpress,1,,https://de.aliexpress.com/item/1005009240348340.html?spm=a2g0o.productlist.main.4.5605pozDpozDur&aem_p4p_detail=202605091500064202101018234140001871556&algo_pvid=397da01b-6e8d-4dff-bb7a-76ee3b522ecb&pdp_ext_f=%7B%22order%22%3A%22786%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009240348340%7C_p_origin_prod%3A&search_p4p_id=202605091500064202101018234140001871556_1,14.99$ 
Custom PCB,JLC PCB,1,,,"6,40$ "
